Robert Trent Jones Golf Trail (Capitol Hill - Judge) (Prattville, AL)
Ross Bridge Golf Resort (Hoover, AL)
Casta del Sol Golf Course (Mission Viejo, CA)
Pacific Grove Golf Links (Pacific Grove, CA)
Pebble Beach Golf Links (Pebble Beach, CA)
Robinson Ranch (Valley) (Santa Clarita, CA)
Sea Cliff Country Club (Huntington Beach, CA)
Shadow Creek (Las Vegas, CA)
The Links at Spanish Bay (Pebble Beach, CA)
The Resort at Pelican Hill (North) (Newport Coast, CA)
The Broadmoor (East) (Colorado Springs, CO)
Augusta National Golf Club (Augusta, GA)
Château Élan Golf Club (Braselton, GA)
Ohoopee Match Club (Cobbtown, GA)
Reynolds Plantation (Great Waters) (Greensboro, GA)
The Cloister at Sea Island (Retreat) (St. Simons Island, GA)
The Landings Club (Deer Creek) (Savannah, GA)
Osprey Meadows at Tamarack Resort (Donnelly, ID)
French Lick Resort (Pete Dye) (French Lick, IN)
Fuzzy Zoeller's Covered Bridge Golf Club (Sellersburg, KY)
The Atchafalaya at Idlewild (Patterson, LA)
The Country Club (Brookline, MA)
Rum Pointe Seaside Golf Links (Berlin, MD)
Boyne Highlands (Heather) (Harbor Springs, MI)
The Bear at Grand Traverse Resort (Acme, MI)
The Quarry at Giants Ridge (Biwabik, MN)
Barnett Golf Club at Big Cedar (Ridgedale, MO)
The Resort at Paws Up (Greenough, MT)
Bald Head Island Club (Bald Head Island, NC)
Brunswick Plantation Golf Club (Calabash, NC)
Farmstead Golf Links (Calabash, NC)
Mid Pines Inn and Golf Club (Southern Pines, NC)
Oyster Bay Golf Links (Sunset Beach, NC)
Pine Needles Lodge & Golf Club (Southern Pines, NC)
The Cardinal by Pete Dye (Greensboro, NC)
The Carolina at Pinehurst (Pinehurst, NC)
The Pearl Golf Links (East) (Sunset Beach, NC)
Tiger's Eye Golf Links (Ocean Isle Beach, NC)
Uwharrie Point Golf Course (Troy, NC)
Bretton Woods Resort (Mt. Washington) (Bretton Woods, NH)
Crystal Springs Resort (Ballyowen) (Hamburg, NJ)
Paa-Ko Ridge Golf Club (Sandia Park, NM)
The Championship at University of New Mexico (Albuquerque, NM)
Cabot Cliffs (Inverness, NS)
Las Vegas Paiute (Sun Mountain) (Las Vegas, NV)
Montauk Downs State Park Golf (Montauk, NY)
The Links at Ferry Point (Bronx, NY)
Wild Turkey Golf Club (Hamburg, NY)
Longaberger Golf Club (Nashville, OH)
Coore Crenshaw Sheep Ranch (Bandon, OR)
Sheep Ranch (Bandon, OR)
Silvies Valley Ranch (Hankins) (Seneca, OR)
King's North at Myrtle Beach National (Myrtle Beach, SC)
Surf Golf & Beach Club (North Myrtle Beach, SC)
The Golf Club at Briar's Creek (Johns Island, SC)
True Blue Golf Plantation (Pawleys Island, SC)
Wild Dunes Resort (Links) (Isle of Palms, SC)
Meadow Brook Golf Course (Rapid City, SD)
The Golf Club at Red Rock (Rapid City, SD)
Barnbougle Dunes (Bridport, TN)
Bear Trace at Ross Creek Landing (Clifton, TN)
Barton Creek Resort (Fazio Foothills) (Austin, TX)
Brackenridge Park Golf Course (San Antonio, TX)
The Golf Club at Star Ranch (Hutto, TX)
Topgolf Live at PGA Frisco (Frisco, TX)
Watters Creek at Montgomery Farm (Allen, TX)
Entrada at Snow Canyon (St. George, UT)
Keswick Hall Golf Club (Keswick, VA)
Okemo Valley Golf Club (Ludlow, VT)
Brown Deer Park Golf Course (Milwaukee, WI)
Lido at Sand Valley (Nekoosa, WI)
Sand Valley Sedge (Nekoosa, WI)
The Bull at Pinehurst Farms (Sheboygan Falls, WI)
The Straits at Whistling Straits (Haven, WI)
University Ridge Golf Course (Verona, WI)
Hayward Golf & Tennis Club (Hayward, WI)
Wissota Pines Golf Course (Chippewa Falls, WI)
The Meadows of Six Mile Creek (Waunakee, WI)
Vitense Golfland (Madison, WI)
Riverside Golf Course (Janesville, WI)
Wausau East Golf Course (Wausau, WI)
Rhinelander Country Club (Rhinelander, WI)
Antigo Bass Lake Golf Course (Antigo, WI)
Plover River Golf Course (Stevens Point, WI)
Bull's Eye Country Club (Wisconsin Rapids, WI)
Twin Eagles Golf Club (Talon) (Naples, FL)
Pelican's Nest Golf Club (Hurricane) (Bonita Springs, FL)
Fiddler's Creek Golf Club (Naples, FL)
Gateway Golf & Country Club (Fort Myers, FL)
Marco Island Marriott Golf Resort (Marco Island, FL)
Omni Tucson National (Catalina) (Tucson, AZ)
Heritage Highlands Golf Club (Marana, AZ)
Tubac Golf Resort (Tubac, AZ)
Quail Canyon Golf Course (Oracle, AZ)
Shadow Creek Golf Course (North Las Vegas, NV)
Wynn Golf Club (Las Vegas, NV)
Bear's Best Las Vegas (Las Vegas, NV)
Las Vegas Paiute (Snow Mountain) (Las Vegas, NV)
Las Vegas Paiute (Wolf) (Las Vegas, NV)
