Antigo Bass Lake Golf Course (Antigo, WI)
Augusta National Golf Club (Augusta, GA)
Barnbougle Dunes (Bridport, TN)
Barnett Golf Club at Big Cedar (Ridgedale, MO)
Bear's Best Las Vegas (Las Vegas, NV)
Brackenridge Park Golf Course (San Antonio, TX)
Brown Deer Park Golf Course (Milwaukee, WI)
Brunswick Plantation Golf Club (Calabash, NC)
Bull's Eye Country Club (Wisconsin Rapids, WI)
Cabot Cliffs (Inverness, NS)
Casta del Sol Golf Course (Mission Viejo, CA)
Château Élan Golf Club (Braselton, GA)
Coore Crenshaw Sheep Ranch (Bandon, OR)
Entrada at Snow Canyon (St. George, UT)
Fiddler's Creek Golf Club (Naples, FL)
Fuzzy Zoeller's Covered Bridge Golf Club (Sellersburg, KY)
Gateway Golf & Country Club (Fort Myers, FL)
Heritage Highlands Golf Club (Marana, AZ)
Keswick Hall Golf Club (Keswick, VA)
Lido at Sand Valley (Nekoosa, WI)
Longaberger Golf Club (Nashville, OH)
Marco Island Marriott Golf Resort (Marco Island, FL)
Meadow Brook Golf Course (Rapid City, SD)
Ohoopee Match Club (Cobbtown, GA)
Okemo Valley Golf Club (Ludlow, VT)
Paa-Ko Ridge Golf Club (Sandia Park, NM)
Plover River Golf Course (Stevens Point, WI)
Quail Canyon Golf Course (Oracle, AZ)
Rhinelander Country Club (Rhinelander, WI)
Riverside Golf Course (Janesville, WI)
Sea Cliff Country Club (Huntington Beach, CA)
Shadow Creek (Las Vegas, CA)
Shadow Creek Golf Course (North Las Vegas, NV)
Sheep Ranch (Bandon, OR)
Surf Golf & Beach Club (North Myrtle Beach, SC)
The Bull at Pinehurst Farms (Sheboygan Falls, WI)
The Championship at University of New Mexico (Albuquerque, NM)
The Country Club (Brookline, MA)
The Golf Club at Briar's Creek (Johns Island, SC)
The Golf Club at Star Ranch (Hutto, TX)
The Links at Ferry Point (Bronx, NY)
The Links at Spanish Bay (Pebble Beach, CA)
The Meadows of Six Mile Creek (Waunakee, WI)
The Resort at Paws Up (Greenough, MT)
The Straits at Whistling Straits (Haven, WI)
Topgolf Live at PGA Frisco (Frisco, TX)
Tubac Golf Resort (Tubac, AZ)
University Ridge Golf Course (Verona, WI)
Uwharrie Point Golf Course (Troy, NC)
Vitense Golfland (Madison, WI)
Wausau East Golf Course (Wausau, WI)
Wild Turkey Golf Club (Hamburg, NY)
Wissota Pines Golf Course (Chippewa Falls, WI)
Wynn Golf Club (Las Vegas, NV)
